AÑO,CBML,CLASE_ACCIDENTE,DIRECCION,DIRECCION ENCASILLADA,DISEÑO,EXPEDIENTE,FECHA_ACCIDENTE,FECHA_ACCIDENTES,GRAVEDAD_ACCIDENTE,MES,NRO_RADICADO,NUMCOMUNA,BARRIO,COMUNA,LOCATION,X,Y
2016,1418,Choque,CL 10 CR 41,CL  010   041  000 00000,Interseccion,A000482980,18/10/2016 09:45:00,2016-10-18T14:45:00.000Z,Con heridos,10,1555731,14,El Poblado,El Poblado,"[-75.5687445682, 6.20999291899]",834945.6,1178692.33
2016,0603,Otro,CR 80 CL 100,CR  080   100  000 00000,Lote o Predio,A000483016,18/10/2016 21:30:00,2016-10-19T02:30:00.000Z,Con heridos,10,1555624,06,Doce de Octubre No.2,Doce de Octubre,"[-75.5803470146, 6.29830154433]",833689.04,1188465.09
2016,1603,Choque,CL 30 CR 78,CL  030   078  000 00000,Interseccion,A000483021,18/10/2016 22:30:00,2016-10-19T03:30:00.000Z,Con heridos,10,1555736,16,Belén,Belén,"[-75.5981696246, 6.23125296676]",831694.77,1181053.5
2016,1020,Otro,CR 43 CL 29,CR  043   029  000 00000,Tramo de via,A000483231,18/10/2016 23:40:00,2016-10-19T04:40:00.000Z,Con heridos,10,1555635,10,San Diego,La Candelaria,"[-75.5688430504, 6.22811074743]",834940.35,1180696.63
2016,1403,Choque,CR 49 CL 17,CR  049   017  000 00000,Tramo de via,A000482335,18/10/2016 17:44:00,2016-10-18T22:44:00.000Z,Solo daños,10,1555817,14,Villa Carlota,El Poblado,"[-75.5769176174, 6.21879589432]",834043.54,1179668.71
2016,0204,Choque,CR 52 CL 120,CR  052   120  000 00000,Tramo de via,A000483159,18/10/2016 08:15:00,2016-10-18T13:15:00.000Z,Solo daños,10,1555580,02,La Frontera,Santa Cruz,"[-75.5559247136, 6.30549237489]",836394.57,1189252.85
2016,1020,Choque,CL 37 CR 42 B,CL  037   042 B  000 00000,Tramo de via,A000483329,18/10/2016 15:00:00,2016-10-18T20:00:00.000Z,Solo daños,10,1555720,10,San Diego,La Candelaria,"[-75.5694512045, 6.23688612894]",834875.77,1181667.59
2016,1403,Choque,CR 49 CL 14,CR  049   014  000 00000,Tramo de via,A000483334,18/10/2016 17:00:00,2016-10-18T22:00:00.000Z,Solo daños,10,1555770,14,Villa Carlota,El Poblado,"[-75.5774146688, 6.21508707917]",833987.35,1179258.58
2016,1007,Choque,CL 44 CR 52,CL  044   052  000 00000,Tramo de via,A000483335,18/10/2016 18:50:00,2016-10-18T23:50:00.000Z,Solo daños,10,1555712,10,Guayaquil,La Candelaria,"[-75.5715484904, 6.24502739683]",834646.15,1182568.87
2016,1113,Choque,CR 80 CL 49,CR  080   049  000 00000,Tramo de via,A000483352,18/10/2016 18:50:00,2016-10-18T23:50:00.000Z,Solo daños,10,1555724,11,El Estadio,Laureles Estadio,"[-75.5973088242, 6.26080057971]",831799.5,1184321.95
2016,1614,Choque,CR 81 A CL 81,CR  081 A   081  000 00000,Tramo de via,A000483356,18/10/2016 17:00:00,2016-10-18T22:00:00.000Z,Solo daños,10,1555782,16,La Palma,Belén,"[-75.6006427458, 6.23111448602]",831420.94,1181038.97
2016,1019,Choque,CR 46 CL 49 A,CR  046   049 A  000 00000,Tramo de via,A000483472,18/10/2016 13:00:00,2016-10-18T18:00:00.000Z,Solo daños,10,1555960,10,La Candelaria,La Candelaria,"[-75.565626284, 6.24784492369]",835302.62,1182878.7
2016,1504,Choque,CL 23 CR 50,CL  023   050  000 00000,Tramo de via,A000483551,18/10/2016 16:30:00,2016-10-18T21:30:00.000Z,Solo daños,10,1555984,15,Santa Fé,Guayabal,"[-75.5772661317, 6.22418846282]",834006.65,1180265.37
2016,0707,Choque,CL 73 CR 72,CL  073   072  000 00000,Interseccion,A000483264,19/10/2016 11:50:00,2016-10-19T16:50:00.000Z,Con heridos,10,1555895,07,Bosques de San Pablo,Robledo,"[-75.5811967906, 6.27421530449]",833587.32,1185800.82
2016,1101,Caída de Ocupante,CL 50 CR 64,CL  050   064  000 00000,Lote o Predio,A000483272,19/10/2016 13:35:00,2016-10-19T18:35:00.000Z,Con heridos,10,1555757,11,Carlos E. Restrepo,Laureles Estadio,"[-75.5781796184, 6.25494391979]",833915.21,1183667.97
